#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH76	358	FUN_006076-T1	463	1.8e-103	11	356	26	408	0.963687
GH25	177	FUN_006080-T1	228	1.4e-49	1	172	25	205	0.966102
GT90	250	FUN_006096-T1	838	6.5e-70	2	248	561	829	0.984000
GH11	177	FUN_006113-T1	152	2.3e-33	7	124	38	152	0.661017
GH31	427	FUN_006147-T1	964	1.9e-148	0	427	289	849	1.000000
GH3	216	FUN_006151-T1	834	2.3e-61	4	216	33	245	0.981481
GH28	325	FUN_006160-T1	405	7.3e-68	7	322	54	393	0.969231
GH28	325	FUN_006161-T1	219	5.2e-46	118	290	1	205	0.529231
GT109	411	FUN_006170-T1	409	1.6e-113	6	394	2	406	0.944039
AA1	358	FUN_006176-T1	603	4.2e-62	6	357	38	571	0.980447
AA1_3	312	FUN_006176-T1	603	4.3e-35	11	271	20	339	0.833333
AA1_1	303	FUN_006176-T1	603	1.5e-27	1	162	34	189	0.531353
GH72	312	FUN_006196-T1	511	1.4e-126	10	311	13	316	0.964744
CBM43	83	FUN_006196-T1	511	2.1e-19	1	82	366	453	0.975904
GH89	663	FUN_006205-T1	596	1.1e-166	96	652	3	577	0.838612
GH27	229	FUN_006212-T1	624	2.1e-33	7	227	327	599	0.960699
GH95	722	FUN_006224-T1	352	3.5e-82	90	408	14	351	0.440443
GH95	722	FUN_006225-T1	335	4.6e-87	413	714	3	328	0.416898
GH27	229	FUN_006234-T1	473	4.4e-43	5	228	175	449	0.973799
GH30_3	417	FUN_006237-T1	476	1.3e-119	10	416	56	472	0.973621
GH30	417	FUN_006237-T1	476	9.6e-110	21	416	57	473	0.947242
GH30_1	416	FUN_006237-T1	476	2.3e-76	9	415	57	471	0.975962
GH30_2	417	FUN_006237-T1	476	4e-51	6	415	57	470	0.980815
GH30_9	442	FUN_006237-T1	476	1.2e-43	10	432	57	461	0.954751
GH30_6	450	FUN_006237-T1	476	2.1e-28	7	408	58	455	0.891111
GH30_7	443	FUN_006237-T1	476	3.9e-24	9	400	57	456	0.882619
GH30_8	342	FUN_006237-T1	476	1e-19	6	228	56	325	0.649123
GH36	688	FUN_006261-T1	746	2.7e-235	1	687	36	728	0.997093
GH47	446	FUN_006273-T1	599	1.8e-157	1	446	106	596	0.997758
GH2	752	FUN_006278-T1	942	6.7e-64	50	581	43	839	0.706117
GH55	740	FUN_006285-T1	763	7.1e-219	5	739	31	761	0.991892
GH109	399	FUN_006293-T1	363	1.5e-19	4	161	4	153	0.393484
GT32	90	FUN_006362-T1	373	2.7e-18	3	89	129	213	0.955556
GH72	312	FUN_006368-T1	540	3.7e-129	3	311	20	331	0.987179
CBM43	83	FUN_006368-T1	540	1.6e-18	0	82	380	467	0.987952
AA3_2	568	FUN_006372-T1	583	6.1e-149	1	566	28	577	0.994718
AA3	618	FUN_006372-T1	583	5.8e-73	84	401	24	580	0.512945
AA3_3	590	FUN_006372-T1	583	6.1e-60	1	317	28	338	0.535593
GH128	224	FUN_006381-T1	272	9.4e-47	7	224	43	264	0.968750
GT8	257	FUN_006451-T1	546	4.7e-45	28	254	8	223	0.879377
GH67	669	FUN_006539-T1	847	1.1e-266	1	668	21	701	0.997010
GT15	273	FUN_006591-T1	394	9.4e-118	0	272	73	352	0.996337
AA2	255	FUN_006635-T1	927	8.5e-24	18	195	60	242	0.694118
GH5_24	315	FUN_006718-T1	528	2e-158	0	315	183	498	1.000000
GH5_1	310	FUN_006718-T1	528	1.3e-57	0	304	185	493	0.980645
GH5_51	351	FUN_006718-T1	528	2.7e-56	0	348	183	491	0.991453
GH5_11	313	FUN_006718-T1	528	4.9e-45	0	313	183	490	1.000000
GH5	275	FUN_006718-T1	528	6.3e-39	1	242	183	501	0.876364
GH5_20	344	FUN_006718-T1	528	1.2e-25	2	237	190	411	0.683140
GH18	296	FUN_006733-T1	1269	2.6e-48	5	278	438	785	0.922297
AA7	458	FUN_006743-T1	574	1.3e-53	18	208	134	331	0.414847
CE5	189	FUN_006746-T1	302	5.4e-42	0	189	31	237	1.000000
AA9	220	FUN_006748-T1	344	1.1e-68	1	219	9	233	0.990909
AA7	458	FUN_006806-T1	488	6.8e-33	7	185	33	215	0.388646
GH128	224	FUN_006884-T1	452	1e-54	6	224	234	449	0.973214
GH18	296	FUN_006887-T1	324	4.7e-26	1	198	25	272	0.665541
AA3_1	548	FUN_006906-T1	739	1.2e-78	10	541	211	732	0.968978
AA3	618	FUN_006906-T1	739	1.1e-50	87	394	215	732	0.496764
AA3_2	568	FUN_006906-T1	739	1.8e-41	3	563	218	733	0.985915
GT22	389	FUN_006911-T1	515	5.6e-78	0	386	4	395	0.992288
GH18	296	FUN_000008-T1	343	3.4e-22	2	198	38	293	0.662162
AA3_2	568	FUN_000010-T1	540	5e-137	1	328	13	325	0.575704
AA3	618	FUN_000010-T1	540	1.4e-88	88	406	13	536	0.514563
AA3_3	590	FUN_000010-T1	540	2.4e-56	2	317	14	316	0.533898
AA3_1	548	FUN_000010-T1	540	1.5e-48	10	326	8	317	0.576642
GT4	160	FUN_000023-T1	646	1.9e-32	6	159	407	577	0.956250
GH2	752	FUN_000038-T1	943	2.3e-59	68	542	151	776	0.630319
GH31	427	FUN_000040-T1	846	7.9e-104	1	427	230	714	0.997658
GH12	156	FUN_000055-T1	328	3.5e-24	19	150	178	315	0.839744
GT2_Glyco_tranf_2_3	230	FUN_000056-T1	742	1.6e-20	1	229	219	453	0.991304
AA11	191	FUN_000117-T1	416	2.1e-72	0	188	17	219	0.984293
GH79	455	FUN_000122-T1	542	8.3e-87	1	436	35	517	0.956044
GT21	233	FUN_000150-T1	528	1.6e-86	0	233	50	358	1.000000
GH81	622	FUN_000170-T1	863	5.8e-123	16	622	66	713	0.974277
CE16	267	FUN_000187-T1	348	8.1e-86	0	266	29	331	0.996255
GH55	740	FUN_000197-T1	800	4.2e-218	9	739	52	796	0.986486
CE5	189	FUN_000201-T1	248	1.2e-47	0	186	77	244	0.984127
GH3	216	FUN_000268-T1	887	1e-61	5	216	102	314	0.976852
GH18	296	FUN_000308-T1	340	4.1e-19	3	197	13	231	0.655405
GH31	427	FUN_000312-T1	964	6.3e-147	1	427	366	815	0.997658
GH154	348	FUN_000331-T1	665	2.7e-122	0	348	20	370	1.000000
GH16_1	229	FUN_000425-T1	375	8.6e-90	2	228	120	352	0.986900
GH16	189	FUN_000425-T1	375	7.9e-20	11	188	99	371	0.936508
GH76	358	FUN_000443-T1	460	3.9e-113	11	356	29	403	0.963687
GH16_1	229	FUN_000568-T1	708	2.1e-65	1	228	61	304	0.991266
GH16	189	FUN_000568-T1	708	3.4e-22	11	176	35	306	0.873016
GH47	446	FUN_000582-T1	568	6.9e-154	0	446	100	565	1.000000
AA2	255	FUN_000607-T1	355	1.2e-60	2	254	84	337	0.988235
GH13_40	359	FUN_000630-T1	573	4.3e-170	0	359	33	385	1.000000
