14000at5125	scaffold_26	149628	161334
14000at5125	scaffold_72	8662	19822
434at5125	scaffold_4	201435	269809
11898at5125	scaffold_288	0	6927
14852at5125	scaffold_48	5272	17355
9541at5125	scaffold_67	68974	81297
46196at5125	scaffold_1	280185	291127
52573at5125	scaffold_149	51408	62024
48767at5125	scaffold_86	57887	68327
16868at5125	scaffold_31	60498	72169
16868at5125	scaffold_132	31265	42606
16868at5125	scaffold_70	3668	14918
8381at5125	scaffold_76	88575	103733
49412at5125	scaffold_38	10020	20681
49412at5125	scaffold_151	2511	12936
6534at5125	scaffold_89	9363	21621
2136at5125	scaffold_68	81386	95356
4187at5125	scaffold_71	108604	123406
3705at5125	scaffold_26	58479	72067
50591at5125	scaffold_279	0	9965
29485at5125	scaffold_4	139381	149809
29485at5125	scaffold_3	182867	193181
19641at5125	scaffold_118	72104	83736
20193at5125	scaffold_53	47461	59046
54245at5125	scaffold_179	40459	50806
31153at5125	scaffold_14	134460	146118
12154at5125	scaffold_244	24362	36561
19720at5125	scaffold_170	0	10786
45616at5125	scaffold_119	3075	13914
47838at5125	scaffold_36	37524	48159
9149at5125	scaffold_287	23961	36276
34569at5125	scaffold_24	20888	32079
39141at5125	scaffold_85	27567	38523
58033at5125	scaffold_165	0	6744
3224at5125	scaffold_32	96299	110382
29205at5125	scaffold_2	305162	316433
10825at5125	scaffold_1	353883	365697
25656at5125	scaffold_17	201973	213454
1473at5125	scaffold_22	151099	166324
42750at5125	scaffold_169	6537	16929
23901at5125	scaffold_47	117117	128693
49751at5125	scaffold_67	67678	78073
13220at5125	scaffold_225	26146	38097
13220at5125	scaffold_187	0	11191
22273at5125	scaffold_220	5104	16453
52453at5125	scaffold_73	62322	72795
21799at5125	scaffold_194	39957	51587
36597at5125	scaffold_201	40186	51399
36597at5125	scaffold_34	29273	40294
36597at5125	scaffold_122	168	11142
8653at5125	scaffold_33	96987	108959
54897at5125	scaffold_15	119808	130794
7434at5125	scaffold_590	0	8108
28431at5125	scaffold_194	37901	49106
8168at5125	scaffold_46	79889	92024
10056at5125	scaffold_120	31483	43358
11036at5125	scaffold_126	56573	68225
818at5125	scaffold_79	64660	77256
52029at5125	scaffold_9	60724	71682
9630at5125	scaffold_179	54724	66630
9630at5125	scaffold_126	68650	80689
18673at5125	scaffold_26	37789	48982
43324at5125	scaffold_54	67972	78913
672at5125	scaffold_81	59909	74697
2358at5125	scaffold_94	5829	16947
23921at5125	scaffold_388	0	6324
27442at5125	scaffold_76	34046	45495
1410at5125	scaffold_69	21915	36008
1410at5125	scaffold_134	48851	62650
1410at5125	scaffold_237	5676	18753
12991at5125	scaffold_13	45657	57461
740at5125	scaffold_1	14678	28949
740at5125	scaffold_138	52410	65688
740at5125	scaffold_35	140664	154029
43630at5125	scaffold_31	137486	148067
23788at5125	scaffold_76	0	9417
23788at5125	scaffold_325	1356	12411
30847at5125	scaffold_19	80363	100676
30847at5125	scaffold_38	139870	163971
30847at5125	scaffold_33	104198	114941
3987at5125	scaffold_187	9863	23054
36519at5125	scaffold_232	39663	50193
1502at5125	scaffold_33	31129	44307
35890at5125	scaffold_69	27203	38231
35890at5125	scaffold_34	17334	45499
20140at5125	scaffold_85	70046	81645
14618at5125	scaffold_78	30468	42321
52666at5125	scaffold_33	73858	84481
3656at5125	scaffold_205	619	14101
27123at5125	scaffold_9	192193	203302
35899at5125	scaffold_390	0	7791
35899at5125	scaffold_95	46159	57588
3814at5125	scaffold_36	116579	130151
23259at5125	scaffold_101	27746	39038
2463at5125	scaffold_110	33633	47226
6593at5125	scaffold_119	27465	39502
43484at5125	scaffold_194	5437	16147
32278at5125	scaffold_96	11723	22940
4312at5125	scaffold_95	47304	59303
55146at5125	scaffold_579	0	9478
35495at5125	scaffold_32	110816	122097
42133at5125	scaffold_19	76690	87888
12958at5125	scaffold_207	0	9309
48419at5125	scaffold_41	91025	102288
1027at5125	scaffold_145	59598	74622
5604at5125	scaffold_239	29911	42352
5604at5125	scaffold_58	67494	79396
5604at5125	scaffold_20	27374	39782
60434at5125	scaffold_25	120193	130414
5041at5125	scaffold_227	20140	32922
5041at5125	scaffold_10	87600	99696
5041at5125	scaffold_126	50598	62810
52872at5125	scaffold_168	25645	36296
56313at5125	scaffold_60	16068	26346
56313at5125	scaffold_8	254576	264839
38839at5125	scaffold_83	26294	37493
1890at5125	scaffold_24	26245	39943
16361at5125	scaffold_177	3559	15766
23613at5125	scaffold_28	3758	16136
53370at5125	scaffold_23	173242	183556
54148at5125	scaffold_122	16083	26328
49009at5125	scaffold_247	4980	15555
49009at5125	scaffold_108	74824	85273
16123at5125	scaffold_114	78035	90468
25559at5125	scaffold_8	13986	25116
25559at5125	scaffold_205	41467	52267
25559at5125	scaffold_354	10750	21628
2707at5125	scaffold_72	0	12545
34354at5125	scaffold_188	0	10492
41406at5125	scaffold_93	35620	47221
154at5125	scaffold_23	117169	135955
37830at5125	scaffold_228	28234	39100
37830at5125	scaffold_503	0	6873
37830at5125	scaffold_6	151703	162494
141at5125	scaffold_285	4589	22032
31785at5125	scaffold_59	0	8842
10280at5125	scaffold_45	27698	39805
10280at5125	scaffold_4	311611	322852
42741at5125	scaffold_24	159613	170653
48396at5125	scaffold_75	17687	28292
17804at5125	scaffold_15	113556	125323
17011at5125	scaffold_71	23519	35411
4070at5125	scaffold_40	111383	124642
34566at5125	scaffold_19	65310	76463
34566at5125	scaffold_29	12647	23342
29162at5125	scaffold_26	71945	83324
21210at5125	scaffold_73	7528	19264
4303at5125	scaffold_118	55932	69855
19756at5125	scaffold_28	140049	151994
40522at5125	scaffold_269	11053	21988
47183at5125	scaffold_768	0	5996
4525at5125	scaffold_9	82168	94399
4525at5125	scaffold_329	0	11907
9166at5125	scaffold_5	263351	275511
32949at5125	scaffold_233	31580	43058
34697at5125	scaffold_9	249518	260763
1101at5125	scaffold_119	0	9829
7500at5125	scaffold_495	0	8244
